Season,Year,class_id,Class,Count,Area_Km_sq,Area (%)
Boro,2018,3,Poor (-2 to -1),1131189,113.119,18.94
Boro,2018,4,Mild Stress (-1 to 0),2332758,233.276,39.07
Boro,2018,5,Normal (0 to 1),1656732,165.673,27.75
Boro,2018,6,Good (1 to 2),850562,85.056,14.24
Boro,2019,3,Poor (-2 to -1),861271,86.127,14.42
Boro,2019,4,Mild Stress (-1 to 0),1276122,127.612,21.37
Boro,2019,5,Normal (0 to 1),1513873,151.387,25.35
Boro,2019,6,Good (1 to 2),2319982,231.998,38.85
Boro,2020,3,Poor (-2 to -1),1214087,121.409,20.33
Boro,2020,4,Mild Stress (-1 to 0),2060448,206.045,34.51
Boro,2020,5,Normal (0 to 1),1581564,158.156,26.49
Boro,2020,6,Good (1 to 2),1115144,111.514,18.68
Boro,2021,3,Poor (-2 to -1),306389,30.639,5.13
Boro,2021,4,Mild Stress (-1 to 0),3202295,320.23,53.63
Boro,2021,5,Normal (0 to 1),2168958,216.896,36.32
Boro,2021,6,Good (1 to 2),293602,29.36,4.92
Boro,2022,3,Poor (-2 to -1),1104951,110.4951,18.50454537
Boro,2022,4,Mild Stress (-1 to 0),1591533,159.1533,26.65330373
Boro,2022,5,Normal (0 to 1),1697276,169.7276,28.42417514
Boro,2022,6,Good (1 to 2),1577487,157.7487,26.41807624
